title,link,price
b'Really cute Lake Martin home w water access',auburn.craigslist.org/reo/5995625629.html,79000
"b'Single Family Only $8,900. Financing Offered To All No Credit Needed'",auburn.craigslist.org/reb/5965352420.html,8900
b'Historic Farm Store &amp; Adjoining Real Estate',auburn.craigslist.org/reo/5995000644.html,0
b'INVESTOR SPECIAL!!!!',auburn.craigslist.org/reo/5994938350.html,0
b'4.06 Acres pristine House and land beautiful wooded tract',auburn.craigslist.org/reo/5971367816.html,138000
b'4.02 Acres pristine House and land beautiful wooded tract',auburn.craigslist.org/reo/5971365080.html,138000
b'3.14 Acres pristine House and land beautiful wooded tract',auburn.craigslist.org/reo/5971319944.html,69000
b'10 Wooded Acres in Valley',auburn.craigslist.org/reo/5973105706.html,0
"b'SELLER FINANCE 300+ Acre Farm w/ 2 BR Home, Lake, Cabin, Working Farm'",auburn.craigslist.org/reo/5967659034.html,1100000
b'1/2 PRICE  Lake Lot - 1 acre lot w/ Year-a-Round water!',auburn.craigslist.org/reo/5964162200.html,49000
"b'Single Family Only $9,900.'",auburn.craigslist.org/reb/5958423545.html,9900
b'Priced to sell',auburn.craigslist.org/reb/5993972290.html,119900
b'PRICE REDUCED! Condo with a Balcony on the Beach',auburn.craigslist.org/reb/5993800665.html,90000
b'Real Estate Auction 3BD 2BA',auburn.craigslist.org/reb/5993821613.html,0
b'3.14 Acres pristine House and land beautiful wooded tract',auburn.craigslist.org/reo/5954397820.html,69000
b'3.14 Acres pristine House and land beautiful wooded tract',auburn.craigslist.org/reo/5990651611.html,69000
"b'Single Family Only $8,900'",auburn.craigslist.org/reb/5959227576.html,8900
b'AUsome BB Brownstone Condo For Sale',auburn.craigslist.org/reo/5993456860.html,0
b'1/2 acre wooded Land',auburn.craigslist.org/reo/5973108676.html,0
b'1998 mobile home',auburn.craigslist.org/reo/5980644158.html,0
b'Own your own Florida beach house - Owner Financing Available',auburn.craigslist.org/reb/5992914492.html,0
"b'Tiny house on wheels - 32x8 conversion home, furnished!'",auburn.craigslist.org/reo/5992360898.html,0
b'4 Bedroom Home For Sale in ANTHEM AT MERRILL RANCH in Florence 85132',auburn.craigslist.org/reb/5960435920.html,369000
b'Lot Spaces for Rent',auburn.craigslist.org/reo/5953081276.html,260
"b'mobile home very nice!!!!!!!!!!! 40,000'",auburn.craigslist.org/reo/5981335518.html,0
b'I HAVE 11 FLORIDA AC CLOSE TO RIVER',auburn.craigslist.org/reo/5989631839.html,0
b'Secluded riverfront property',auburn.craigslist.org/reo/5988776815.html,0
b'Home For Sale - Walking Distance to ALL AU Schools',auburn.craigslist.org/reo/5985517449.html,215000
b'Great Deals on A New Manufactured Home Now',auburn.craigslist.org/reo/5987945359.html,0
b'\xe2\x9d\x88\xe2\x9d\x883 acres Bryan Taylor Rd Tract in Brantley\xe2\x9d\x88\xe2\x9d\x88',auburn.craigslist.org/reo/5987615198.html,17500
b'Double Wide For Sale',auburn.craigslist.org/reo/5953506101.html,2500
"b'For Sale, Beautiful Auburn Home (Grove Hill--An Exclusive Subdivision)'",auburn.craigslist.org/reo/5986139692.html,322900
b'Auburn Land- Waterfront Dream Lot',auburn.craigslist.org/reo/5986116654.html,0
b'Real Estate Auction 3BD 2BA',auburn.craigslist.org/reb/5985332143.html,0
b'Upscale furnished townhome',auburn.craigslist.org/reb/5985003551.html,249000
b'Get an Affordable New Home Today',auburn.craigslist.org/reo/5971933238.html,0
b'3.14 Acres pristine House and land beautiful wooded tract',auburn.craigslist.org/reo/5943456848.html,69000
b'1bedroom condo at The Brooks',auburn.craigslist.org/reo/5983633624.html,62000
b'Magnificent Home with stunning Chandelier',auburn.craigslist.org/reb/5958016600.html,0
b'Home For Sale',auburn.craigslist.org/reb/5983351345.html,79900
b'Would you like southwest florida land for cheap?',auburn.craigslist.org/reo/5982077640.html,0
b'House for sale or lease',auburn.craigslist.org/reo/5950586874.html,650
b'2.15 acres for sale',auburn.craigslist.org/reo/5966023338.html,0
"b'Package of 3 rental house properties in Spokane, Washington State'",auburn.craigslist.org/reo/5981228640.html,360000
b'lot for sale with well and septic',auburn.craigslist.org/reo/5980976734.html,0
b'On RAIL ROAD AVE!!! Depot Rail Road Ave 7500sf-Former ICEHOUSE)',auburn.craigslist.org/reo/5941601633.html,485000
"b""'94 mobile home in Orchard Way""",auburn.craigslist.org/reo/5974686130.html,13000
b'2/2 MOBILE HOME LANETT AL',auburn.craigslist.org/reo/5975630396.html,600
b'Three bedroom two bath double widi',auburn.craigslist.org/reo/5979099952.html,0
"b'NEW PRICE/Cusseta, barn and home,3.5 acres'",auburn.craigslist.org/reb/5978545848.html,0
b'Susanah Crossing/MAKE OFFER',auburn.craigslist.org/reb/5978541993.html,0
b'Lake Martin 3/3',auburn.craigslist.org/reb/5978537262.html,0
b'MH 55Community Intercoastal River Atlanitc Ocean',auburn.craigslist.org/reo/5977877017.html,27000
b'2003 cavalier modular home',auburn.craigslist.org/reo/5945950154.html,0
b'3bd 2ba mobile home trailer',auburn.craigslist.org/reo/5977738771.html,0
b'5 acres-Dadeville (Buttston) Horseshoe Bend school district',auburn.craigslist.org/reo/5977680838.html,0
"b'Garage/BODY SHOP - 5,000 SF - PLUS residential lot'",auburn.craigslist.org/reo/5938424273.html,178000
b'\xe2\x89\xa1\xe2\x89\xa11400 sqft Altiere Hunting Lodge in Georgiana\xe2\x89\xa1\xe2\x89\xa1',auburn.craigslist.org/reo/5967423249.html,35000
"b'34 acres,Jacksons Gap-possible owner finance'",auburn.craigslist.org/reo/5976821358.html,0
b'Lot for sale near Alexander City',auburn.craigslist.org/reo/5976814044.html,0
b'52 AC with 2 houses and 2 ponds',auburn.craigslist.org/reo/5976200439.html,0
